1,3.84,Current,Percentage,,,,100,3.84
2,3.84,65.1,100,,,,100,3.84
3,3.83,64.9,100,,,,100,3.83
4,3.83,65,100,,,,100,3.83
5,3.83,65.1,100,,,,99.99,3.83
6,3.82,65.3,99.99,,,,99.99,3.82
7,3.81,64.9,99.99,,,,99.99,3.81
8,3.81,65.1,99.99,,,,99.99,3.81
9,3.81,65.3,99.99,,,,99.99,3.81
10,3.8,65,99.99,,,,99.99,3.8
11,3.8,65.4,99.99,,,,99.99,3.8
12,3.79,65.2,99.99,,,,99.98,3.79
13,3.79,65.3,99.98,,,,99.98,3.79
14,3.79,65.2,99.98,,,,99.98,3.79
15,3.78,65.1,99.98,,,,99.98,3.78
16,3.78,65.5,99.98,,,,99.98,3.78
17,3.77,65.3,99.98,,,,99.98,3.77
18,3.77,65,99.98,,,,99.98,3.77
19,3.77,65.4,99.98,,,,99.98,3.77
20,3.76,65.1,99.98,,,,99.97,3.76
21,3.76,65.1,99.97,,,,99.97,3.76
22,3.75,65.1,99.97,,,,99.97,3.75
23,3.75,65,99.97,,,,99.97,3.75
24,3.74,65.2,99.97,,,,99.97,3.74
25,3.74,64.8,99.97,,,,99.97,3.74
26,3.74,65.3,99.97,,,,99.97,3.74
27,3.73,65.1,99.97,,,,99.96,3.73
28,3.73,65.3,99.96,,,,99.96,3.73
29,3.72,65.4,99.96,,,,99.96,3.72
30,3.72,65.2,99.96,,,,99.96,3.72
31,3.72,65.1,99.96,,,,99.96,3.72
32,3.71,65.2,99.96,,,,99.96,3.71
33,3.71,65.1,99.96,,,,99.96,3.71
34,3.71,65,99.96,,,,99.95,3.71
35,3.7,65,99.95,,,,99.95,3.7
36,3.7,64.9,99.95,,,,99.95,3.7
37,3.7,65.3,99.95,,,,99.95,3.7
38,3.7,65.3,99.95,,,,99.95,3.7
39,3.7,65.1,99.95,,,,99.95,3.7
40,3.69,65.2,99.95,,,,99.95,3.69
41,3.69,65.3,99.95,,,,99.94,3.69
42,3.69,65.2,99.94,,,,99.94,3.69
43,3.68,65.3,99.94,,,,99.94,3.68
44,3.68,65,99.94,,,,99.94,3.68
45,3.68,65.1,99.94,,,,99.94,3.68
46,3.67,65.2,99.94,,,,99.94,3.67
47,3.67,65.2,99.94,,,,99.94,3.67
48,3.67,65.3,99.94,,,,99.94,3.67
49,3.66,64.8,99.94,,,,99.93,3.66
50,3.66,64.9,99.93,,,,99.93,3.66
51,3.66,65.1,99.93,,,,99.93,3.66
52,3.65,64.8,99.93,,,,99.93,3.65
53,3.65,65.3,99.93,,,,99.93,3.65
54,3.65,65.2,99.93,,,,99.93,3.65
55,3.64,65.1,99.93,,,,99.93,3.64
56,3.64,65.4,99.93,,,,99.92,3.64
57,3.64,64.9,99.92,,,,99.92,3.64
58,3.63,65.5,99.92,,,,99.92,3.63
59,3.63,65,99.92,,,,99.92,3.63
60,3.63,65.3,99.92,,,,99.92,3.63
61,3.62,65.1,99.92,,,,99.92,3.62
62,3.62,65,99.92,,,,99.92,3.62
63,3.62,65.3,99.92,,,,99.91,3.62
64,3.62,65,99.91,,,,99.91,3.62
65,3.61,65.3,99.91,,,,99.91,3.61
66,3.61,65,99.91,,,,99.91,3.61
67,3.61,65.5,99.91,,,,99.91,3.61
68,3.6,64.9,99.91,,,,99.91,3.6
69,3.6,65.1,99.91,,,,99.91,3.6
70,3.6,65,99.91,,,,99.9,3.6
71,3.6,64.9,99.9,,,,99.9,3.6
72,3.59,65,99.9,,,,99.9,3.59
73,3.59,65.1,99.9,,,,99.9,3.59
74,3.59,64.8,99.9,,,,99.9,3.59
75,3.59,64.9,99.9,,,,99.9,3.59
76,3.59,65.1,99.9,,,,99.9,3.59
77,3.58,64.9,99.9,,,,99.9,3.58
78,3.58,65.2,99.9,,,,99.89,3.58
79,3.58,65,99.89,,,,99.89,3.58
80,3.58,65.5,99.89,,,,99.89,3.58
81,3.57,65.2,99.89,,,,99.89,3.57
82,3.57,65.2,99.89,,,,99.89,3.57
83,3.57,65,99.89,,,,99.89,3.57
84,3.57,64.9,99.89,,,,99.89,3.57
85,3.56,65.3,99.89,,,,99.88,3.56
86,3.56,65,99.88,,,,99.88,3.56
87,3.56,65.1,99.88,,,,99.88,3.56
88,3.56,65.1,99.88,,,,99.88,3.56
89,3.56,65.4,99.88,,,,99.88,3.56
90,3.55,65.2,99.88,,,,99.88,3.55
91,3.55,65.1,99.88,,,,99.88,3.55
92,3.55,64.9,99.88,,,,99.87,3.55
93,3.55,64.9,99.87,,,,99.87,3.55
94,3.55,65.2,99.87,,,,99.87,3.55
95,3.54,65,99.87,,,,99.87,3.54
96,3.54,65,99.87,,,,99.87,3.54
97,3.54,65.3,99.87,,,,99.87,3.54
98,3.54,65,99.87,,,,99.87,3.54
99,3.54,65,99.87,,,,99.86,3.54
100,3.54,65.1,99.86,,,,99.86,3.54
101,3.53,64.8,99.86,,,,99.86,3.53
102,3.53,65.2,99.86,,,,99.86,3.53
103,3.53,64.9,99.86,,,,99.86,3.53
104,3.53,65.1,99.86,,,,99.86,3.53
105,3.53,64.9,99.86,,,,99.86,3.53
106,3.52,65.4,99.86,,,,99.86,3.52
107,3.52,65.5,99.86,,,,99.85,3.52
108,3.52,65.1,99.85,,,,99.85,3.52
109,3.52,65.1,99.85,,,,99.85,3.52
110,3.52,64.8,99.85,,,,99.85,3.52
111,3.52,65.3,99.85,,,,99.85,3.52
112,3.51,65.1,99.85,,,,99.85,3.51
113,3.51,65.3,99.85,,,,99.85,3.51
114,3.51,64.9,99.85,,,,99.84,3.51
115,3.51,64.9,99.84,,,,99.84,3.51
116,3.51,64.6,99.84,,,,99.84,3.51
117,3.51,64.9,99.84,,,,99.84,3.51
118,3.51,64.8,99.84,,,,99.84,3.51
119,3.51,65.2,99.84,,,,99.84,3.51
120,3.5,65.3,99.84,,,,99.84,3.5
121,3.5,65,99.84,,,,99.83,3.5
122,3.5,65.1,99.83,,,,99.83,3.5
123,3.5,64.9,99.83,,,,99.83,3.5
124,3.5,65.1,99.83,,,,99.83,3.5
125,3.5,65,99.83,,,,99.83,3.5
126,3.5,64.9,99.83,,,,99.83,3.5
127,3.49,65.1,99.83,,,,99.83,3.49
128,3.49,65.2,99.83,,,,99.82,3.49
129,3.49,65.2,99.82,,,,99.82,3.49
130,3.49,64.9,99.82,,,,99.82,3.49
131,3.49,64.9,99.82,,,,99.82,3.49
132,3.49,65.1,99.82,,,,99.82,3.49
133,3.49,65.2,99.82,,,,99.82,3.49
134,3.49,65.3,99.82,,,,99.82,3.49
135,3.48,65.1,99.82,,,,99.82,3.48
136,3.48,65.2,99.82,,,,99.81,3.48
137,3.48,65.2,99.81,,,,99.81,3.48
138,3.48,65.3,99.81,,,,99.81,3.48
139,3.48,65.2,99.81,,,,99.81,3.48
140,3.48,64.9,99.81,,,,99.81,3.48
141,3.48,65.2,99.81,,,,99.81,3.48
142,3.48,65.1,99.81,,,,99.81,3.48
143,3.48,65.2,99.81,,,,99.8,3.48
144,3.47,64.9,99.8,,,,99.8,3.47
145,3.47,65.4,99.8,,,,99.8,3.47
146,3.47,64.9,99.8,,,,99.8,3.47
147,3.47,65.1,99.8,,,,99.8,3.47
148,3.47,65.2,99.8,,,,99.8,3.47
149,3.47,65.2,99.8,,,,99.8,3.47
150,3.47,64.9,99.8,,,,99.79,3.47
151,3.47,65.4,99.79,,,,99.79,3.47
152,3.47,64.9,99.79,,,,99.79,3.47
153,3.47,65.2,99.79,,,,99.79,3.47
154,3.46,64.6,99.79,,,,99.79,3.46
155,3.46,65.3,99.79,,,,99.79,3.46
156,3.46,65.2,99.79,,,,99.79,3.46
157,3.46,65.2,99.79,,,,99.78,3.46
158,3.46,65,99.78,,,,99.78,3.46
159,3.46,65,99.78,,,,99.78,3.46
160,3.46,65.1,99.78,,,,99.78,3.46
161,3.46,64.7,99.78,,,,99.78,3.46
162,3.46,65,99.78,,,,99.78,3.46
163,3.46,64.9,99.78,,,,99.78,3.46
164,3.46,64.8,99.78,,,,99.78,3.46
165,3.46,64.9,99.78,,,,99.77,3.46
166,3.45,64.6,99.77,,,,99.77,3.45
167,3.45,65.3,99.77,,,,99.77,3.45
168,3.45,65,99.77,,,,99.77,3.45
169,3.45,64.8,99.77,,,,99.77,3.45
170,3.45,65.1,99.77,,,,99.77,3.45
171,3.45,64.9,99.77,,,,99.77,3.45
172,3.45,65.2,99.77,,,,99.76,3.45
173,3.45,64.8,99.76,,,,99.76,3.45
174,3.45,64.8,99.76,,,,99.76,3.45
175,3.45,64.8,99.76,,,,99.76,3.45
176,3.45,64.9,99.76,,,,99.76,3.45
177,3.45,64.9,99.76,,,,99.76,3.45
178,3.45,64.8,99.76,,,,99.76,3.45
179,3.45,64.9,99.76,,,,99.75,3.45
180,3.44,65.3,99.75,,,,99.75,3.44
181,3.44,64.9,99.75,,,,99.75,3.44
182,3.44,65,99.75,,,,99.75,3.44
183,3.44,64.8,99.75,,,,99.75,3.44
184,3.44,65.2,99.75,,,,99.75,3.44
185,3.44,65.2,99.75,,,,99.75,3.44
186,3.44,65.2,99.75,,,,99.74,3.44
187,3.44,64.8,99.74,,,,99.74,3.44
188,3.44,65.2,99.74,,,,99.74,3.44
189,3.44,65.3,99.74,,,,99.74,3.44
190,3.44,65.3,99.74,,,,99.74,3.44
191,3.44,65.1,99.74,,,,99.74,3.44
192,3.44,64.9,99.74,,,,99.74,3.44
193,3.44,65.3,99.74,,,,99.74,3.44
194,3.43,65.3,99.74,,,,99.73,3.43
195,3.43,64.9,99.73,,,,99.73,3.43
196,3.43,65.6,99.73,,,,99.73,3.43
197,3.43,65,99.73,,,,99.73,3.43
198,3.43,65.1,99.73,,,,99.73,3.43
199,3.43,64.9,99.73,,,,99.73,3.43
200,3.43,65.1,99.73,,,,99.73,3.43
201,3.43,64.9,99.73,,,,99.72,3.43
202,3.43,65.4,99.72,,,,99.72,3.43
203,3.43,64.9,99.72,,,,99.72,3.43
204,3.43,65.3,99.72,,,,99.72,3.43
205,3.43,64.8,99.72,,,,99.72,3.43
206,3.43,65.4,99.72,,,,99.72,3.43
207,3.43,64.8,99.72,,,,99.72,3.43
208,3.43,65.2,99.72,,,,99.71,3.43
209,3.42,64.9,99.71,,,,99.71,3.42
210,3.42,65.2,99.71,,,,99.71,3.42
211,3.42,64.8,99.71,,,,99.71,3.42
212,3.42,65.1,99.71,,,,99.71,3.42
213,3.42,64.9,99.71,,,,99.71,3.42
214,3.42,65.4,99.71,,,,99.71,3.42
215,3.42,65,99.71,,,,99.7,3.42
216,3.42,64.9,99.7,,,,99.7,3.42
217,3.42,65.2,99.7,,,,99.7,3.42
218,3.42,65.1,99.7,,,,99.7,3.42
219,3.42,65.4,99.7,,,,99.7,3.42
220,3.42,64.8,99.7,,,,99.7,3.42
221,3.42,65.1,99.7,,,,99.7,3.42
222,3.42,65,99.7,,,,99.7,3.42
223,3.41,65.2,99.7,,,,99.69,3.41
224,3.41,65.1,99.69,,,,99.69,3.41
225,3.41,64.9,99.69,,,,99.69,3.41
226,3.41,65.1,99.69,,,,99.69,3.41
227,3.41,65.2,99.69,,,,99.69,3.41
228,3.41,65.1,99.69,,,,99.69,3.41
229,3.41,65.3,99.69,,,,99.69,3.41
230,3.41,64.9,99.69,,,,99.68,3.41
231,3.41,64.9,99.68,,,,99.68,3.41
232,3.41,65.1,99.68,,,,99.68,3.41
233,3.41,65,99.68,,,,99.68,3.41
234,3.41,65.2,99.68,,,,99.68,3.41
235,3.41,65,99.68,,,,99.68,3.41
236,3.41,65.1,99.68,,,,99.68,3.41
237,3.4,65.1,99.68,,,,99.67,3.4
238,3.41,65.1,99.67,,,,99.67,3.41
239,3.4,65.2,99.67,,,,99.67,3.4
240,3.4,64.8,99.67,,,,99.67,3.4
241,3.4,65.3,99.67,,,,99.67,3.4
242,3.4,65.1,99.67,,,,99.67,3.4
243,3.4,65.1,99.67,,,,99.67,3.4
244,3.4,65.3,99.67,,,,99.66,3.4
245,3.4,65,99.66,,,,99.66,3.4
246,3.4,65.2,99.66,,,,99.66,3.4
247,3.4,65.1,99.66,,,,99.66,3.4
248,3.4,65.2,99.66,,,,99.66,3.4
249,3.4,64.9,99.66,,,,99.66,3.4
250,3.4,65.2,99.66,,,,99.66,3.4
251,3.4,65.1,99.66,,,,99.66,3.4
252,3.4,65.1,99.66,,,,99.65,3.4
253,3.4,65.1,99.65,,,,99.65,3.4
254,3.4,65.3,99.65,,,,99.65,3.4
255,3.4,65,99.65,,,,99.65,3.4
256,3.4,65.4,99.65,,,,99.65,3.4
257,3.39,65,99.65,,,,99.65,3.39
258,3.4,64.9,99.65,,,,99.65,3.4
259,3.39,64.9,99.65,,,,99.64,3.39
260,3.39,65.1,99.64,,,,99.64,3.39
261,3.39,64.8,99.64,,,,99.64,3.39
262,3.39,65.1,99.64,,,,99.64,3.39
263,3.39,64.7,99.64,,,,99.64,3.39
264,3.39,65.1,99.64,,,,99.64,3.39
265,3.39,64.8,99.64,,,,99.64,3.39
266,3.39,64.8,99.64,,,,99.63,3.39
267,3.39,65.1,99.63,,,,99.63,3.39
268,3.39,65,99.63,,,,99.63,3.39
269,3.39,65.1,99.63,,,,99.63,3.39
270,3.39,65.1,99.63,,,,99.63,3.39
271,3.39,65.1,99.63,,,,99.63,3.39
272,3.39,65.1,99.63,,,,99.63,3.39
273,3.39,64.8,99.63,,,,99.62,3.39
274,3.39,64.5,99.62,,,,99.62,3.39
275,3.39,65.2,99.62,,,,99.62,3.39
276,3.39,65,99.62,,,,99.62,3.39
277,3.38,65,99.62,,,,99.62,3.38
278,3.38,64.7,99.62,,,,99.62,3.38
279,3.38,64.9,99.62,,,,99.62,3.38
280,3.38,64.9,99.62,,,,99.62,3.38
281,3.38,65.2,99.62,,,,99.61,3.38
282,3.38,65.1,99.61,,,,99.61,3.38
283,3.38,65,99.61,,,,99.61,3.38
284,3.38,65,99.61,,,,99.61,3.38
285,3.38,65.2,99.61,,,,99.61,3.38
286,3.38,65.1,99.61,,,,99.61,3.38
287,3.38,65.4,99.61,,,,99.61,3.38
288,3.38,64.8,99.61,,,,99.6,3.38
289,3.38,65.4,99.6,,,,99.6,3.38
290,3.38,64.9,99.6,,,,99.6,3.38
291,3.38,65.1,99.6,,,,99.6,3.38
292,3.38,64.8,99.6,,,,99.6,3.38
293,3.38,65,99.6,,,,99.6,3.38
294,3.38,65,99.6,,,,99.6,3.38
295,3.38,64.8,99.6,,,,99.59,3.38
296,3.38,65.1,99.59,,,,99.59,3.38
297,3.38,65.2,99.59,,,,99.59,3.38
298,3.37,65,99.59,,,,99.59,3.37
299,3.37,65.1,99.59,,,,99.59,3.37
300,3.37,64.8,99.59,,,,99.59,3.37
301,3.37,65.1,99.59,,,,99.59,3.37
302,3.37,65,99.59,,,,99.59,3.37
303,3.37,65.3,99.59,,,,99.58,3.37
304,3.37,65.1,99.58,,,,99.58,3.37
305,3.37,64.7,99.58,,,,99.58,3.37
306,3.37,65.3,99.58,,,,99.58,3.37
307,3.37,65,99.58,,,,99.58,3.37
